model_id,group,modality,is_accumulator,auc
NB11e_dietrich28__block_stats__LightGBM-Optuna,buildings_v2,multimodal,False,0.8651939589260575
NB11e_dietrich28__block_stats__XGBoost-Optuna,buildings_v2,multimodal,False,0.8565190253002182
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,buildings_v2,multimodal,False,0.8531321209719291
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,buildings_v2,multimodal,False,0.8514322569979395
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,buildings_v2,multimodal,False,0.8513759240682441
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,buildings_v2,multimodal,False,0.8471212153619858
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,buildings_v2,SAR,False,0.8457265262708498
NB11e_dietrich28__block_stats__RF-200-Optuna,buildings_v2,multimodal,False,0.8451876717754665
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,buildings_v2,multimodal,False,0.8449077177721209
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,buildings_v2,other,True,0.8429896872108534
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,buildings_v2,multimodal,False,0.8421503717020633
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,buildings_v2,multimodal,False,0.8409115253590649
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,buildings_v2,multimodal,False,0.8390664994060368
E5_HistGBM_native_NaN,buildings_v2,other,False,0.8369950999558949
NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,buildings_v2,multimodal,False,0.8323169688840124
NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,buildings_v2,multimodal,False,0.8310469044573365
R5_XGBoost_dietrich28,buildings_v2,other,False,0.8302795858107583
B0_single_s1_coh_drop_countM,buildings_v2,SAR,True,0.8289973355040072
E6_B_nativeNaN_card_only,buildings_v2,SAR,False,0.8287738579785406
